ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
680;Loutraki - AKS LT2;35,498277;24,163748;Y;;settlement;201;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
681;Loutraki - AKS LT2;35,498277;24,163748;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
682;Loutro - Phoinix (Metamorfosi Sotiros) - Loutro ;35,19547;24,080198;Y;;hamlet\church;201;824;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;Official site Αριθ. 21220
683;Loutro - Phoinix (Metamorfosi Sotiros) - Loutro ;35,19547;24,080198;Y;;hamlet\church;961;1205;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;Official site Αριθ. 21220
684;Lyktos (Xidas) = Lyctos ;35,207792;25,368492;Y;Y;city\cemetery\church\cistern\fortification\water construction;201;1205;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;Spratt, Thomas. A. B. 1865. Travels and researches in Crete. London: van Voorst;;official site: Αριθ.. 9597
685;Lyttos (Xidas) = Lyctos, E.G. Tampakaki ;35,201008;25,363669;N;;settlement;201;300;ΑΔ Β2 Χρονικά 63 (2008);;;;area Timios Stavros
686;Lyttos (Xidas) = Lyctos, Kassotakis' field;35,2076;25,367939;N;;cemetery;201;300;ΑΔ Β2 Χρονικά 63 (2008);;;;Ε οf Lyttos, Koutsoulocharako 
687;Makhairidha - ΑΚS TS11;35,575873;24,077972;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
688;Makrygialos;35,036618;25,971747;Y;;settlement\cemetery;301;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
689;Malaki;35,28523;24,422605;Ν;;church;313;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
690;Malathiros (Trialona);35,423369;23,725212;Y;;fortification\church;313;400;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;
691;Malathiros (Trialona);35,423369;23,725212;Y;;fortification\church;961;1205;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;
692;Malathre Agios Georgios (Mourne);35,208404;24,51895;N;;church;313;400;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;
693;Malathre Agios Georgios (Mourne);35,208404;24,51895;N;;church;961;1205;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;coordinates: village center
694;Malathyros - Astratigos (Archangelos Michail);35,428913;23,723366;Y;;church;313;400;Lassithiotakes, Konstantinos. 1969. Ekklesies tes Dytikes Kretes. Kretika chronika 21. 177 - 233, 459 - 493. ;;;;
695;Malathyros - Astratigos (Archangelos Michail);35,428913;23,723366;Y;;church;961;1205;Lassithiotakes, Konstantinos. 1969. Ekklesies tes Dytikes Kretes. Kretika chronika 21. 177 - 233, 459 - 493. ;;;;
696;Malathyros (Agia Irini);35,421339;23,69529;Y;;church;961;1205;Lassithiotakes, Konstantinos. 1969. Ekklesies tes Dytikes Kretes. Kretika chronika 21. 177 - 233, 459 - 493. ;;;;
697;Malathyros (Koimisi Theotokou);35,428431;23,722812;Y;;church;961;1205;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;;;
698;Males (Ag. Georgios);35,075989;25,582;Y;;settlement\church;961;1205;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;;;
699;Malia;35,283062;25,462721;Y;;settlement\church;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;destroyed during 7th c.
700;Malia;35,283062;25,462721;Y;;settlement\church;1101;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;destroyed during 7th c.
701;Malia (Ag. Konstantinou and Eleni, ancient Arcadia);35,274827;25,464094;Ν;;water construction;201;300;ΑΔ 61 (2006);;;;3km S of Malia
702;Malia (Ag. Konstantinou and Eleni, ancient Arcadia);35,274827;25,464094;Ν;;church;961;1205;ΑΔ 61 (2006);;;;3km S of Malia
703;Malia (Livadi area);35,29434;25,484951;Υ;;church;401;500;ΑΔ 61 (2006);;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;
704;Marathi;35,5055782;24,176607;Y;;settlement\church;401;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;Sepuchral hypogaea
705;Marathospilio - AKS MR4;35,511243;24,171328;Y;;settlement;201;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
706;Marmaka;35,42482;24,127234;N;;settlement;401;900;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;between villages Nio Chorio and Stylos, coordinates: center of Provarma settlement
707;Mastabas;35,325035;25,120575;Y;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;
708;Matala;35,103407;24,56343;Y;Y;cemetery\church\port                ;201;700;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana (Venice) 37-113.;;;;Ag. Pavlos: architecture - late antiquity - early Christ, up today called Loutro
709;Megali Episkopi (Kalamon);35,329188;24,335874;N;Y;settlement;201;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;N of Lappa, maybe Venet. Polis or Stimpolis, coordinates: village center
710;Megeino - AKS AT1B;35,558282;24,133402;Y;;settlement;301;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
711;Megeino - AKS AT1B;35,558282;24,133402;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
712;Meintani Square (Kastelli);35,207962;25,338333;Y;;settlement;301;824;ΑΔ Β2 Χρονικά 46 (1991);;;;official site: YΠΠΟ/ΑΡΧ/Α1/Φ43/22171/1244
713;Meintani Square (Kastelli);35,207962;25,338333;Y;;settlement;961;1205;ΑΔ Β2 Χρονικά 46 (1991);;;;
714;Melica (Agios Ioannis);35,04514;24,811933;N;;settlement;961;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;coordinates: village center
715;Melidochori ;35,112018;25,110478;Y;;coin;824;961;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center
716;Melidoni Mylopotamou  (Palaiokklisia area);35,378572;24,737204;Y;;church;401;500;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;ΑΔ 61 (2006);;
717;Melisa (Agios Thomas);35,163722;25,036102;Υ;;fortification;961;1205;Spanakes, Stergios G. 1990. Poleis kai Choria tes Kretes sto perasma ton aionon: metroon ton oikismon. Detorakes: Athens. ;;Gigourtakes, Nikos. 2015. The byzantine fortifications in Crete between 5th c. A.D. until 1206. Rethymno: MA dissertation.;;
718;Melissa - AKS AR1C;35,512717;24,107598;Y;;settlement\church;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
719;Melissa - AKS AR1C;35,512717;24,107598;Y;;settlement;301;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
720;Melissa - AKS AR1C;35,512717;24,107598;Y;;church;313;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
721;Meronas ;35,234556;24,628913;Y;;settlement\church;1101;1205;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana (Venice) 37-113.;;;;
722;Mesa Apidi ;35,056448;26,119629;Y;;settlement;301;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
723;Mesa Katsampas;35,339902;25,15215;Y;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;Arabic coin
724;Mesa Lasithi: Diaselo;35,18461;25,509461;Y;;settlement;201;700;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
725;Mesa Lasithi: Diaselo;35,18461;25,509461;Y;;settlement;961;1205;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
726;Mesa Mouliana (Theologos);35,15867;25,971856;Y;;settlement\church\cistern;961;1205;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;;;
727;Meseleroi (Oleros);35,083759;25,712101;Y;;settlement;301;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;coordinates: village center
728;Meseleroi (Oleros);35,083759;25,712101;Y;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center
729;Meskla;35,403231;23,955484;Y;;settlement;201;1205;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana (Venice) 37-113.;;;;coordinates: village center
730;Meskla;35,403231;23,955484;Y;;church;961;1205;Curuni S.A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana (Venice) 37-113.;;;;
731;Mesochori ;35,202289;24,13943;Y;;church;961;1205;Lassithiotakes, Konstantinos E. 1971.Ekklesies tes Dytikes Kretes: Kretika Chronika 23, 95-177;;;;
732;Metamorfosi Sotira Christou (Eleytherna Anarchoudometocha);35,324855;24,678552;Y;;church;961;1205;Gerola, Giuseppe. 1908. Monumenti Veneti nell’ isola di Creta vol. II, Venice;;Curuni S. A. 1988: L’ Istituto Veneto di Scienze, Lettere ed Arti e la missione cretese di Giuseppe Gerola, in: Curuni S.A. & Donati L. (eds), Creta Veneziana. Venice.  37-113.;;
733;Metamorfosi Sotira Christou (Zouridi);35,290146;24,357447;Y;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Antourakes, Georgios. 1979. Ta monasteria ton Myriokefallon kai Roustikon Kretes me ta parekklesia tous, Athens. ;;
734;Metochi Kamilariou - FES10;35,036824;24,79313;Y;;settlement\church;201;600;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;
735;Metropolis ;35,054813;24,943919;N;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center
736;Miamou - Makri Livadi ;34,971892;24,936355;N;;settlement;301;824;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;coordinates: village center
737;Michael Archanggelos - Episkopi Chanion ;35,490844;23,763153;Y;;church;310;824;Curuni S.A. & Donati L. (eds)1988, Creta Veneziana (Venice) 37-113.;;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;
738;Michael Archanggelos - Episkopi Chanion ;35,490844;23,763153;Y;;church;961;1205;Curuni S.A. & Donati L. (eds)1988, Creta Veneziana (Venice) 37-113.;;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;
739;Michail Archaggelos (Aradaina);35,223575;24,062651;Y;;settlement\church;201;824;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;
740;Michail Archaggelos (Aradaina);35,223575;24,062651;Y;;church;961;1205;Volanakes, Ioannis. 1987. Ta palaiochristianika mnemeia tes Kretes. Kretika Chronika KZ', 235-261.;;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;
741;Michail Archaggelos (Axos);35,307546;24,841521;Y;;church;313;824;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis etairias Kretikon istorikon meleton.;;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;
742;Michail Archaggelos (Chasiana);35,326988;23,74131;N;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;Lassithiotakes, Konstantinos. 1970. Ekklesies Dytikes Kretes (D' Eparchia Selinou. Kretika Chronika 22, 133-210.;;coordinates: village center
743;Michail Archaggelos (Kapsodasos);35,204282;24,238101;N;;church;961;1205;Antourakes, Georgios. 1977. Ai monai Myriokefalon kai Roustikon Kretes meta ton parekklesion auton. Athens. ;;;;collapsed, coordinates: N part of the village (Parekklisi)
744;Mikri Episkopi (Sotiras Christos);35,130277;25,223109;Y;;church;401;824;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;;;
745;Mikri Episkopi (Sotiras Christos);35,130277;25,223109;Y;;church;961;1205;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;;;
746;Milatos ;35,308352;25,565923;Y;;church;401;824;Spanakes, Stergios. G. 1991–1993. Poleis kai choria tis Kritis sto perasma ton aionon (Volumes. 1–2). Heraklion: Grafikes Technes G. Detorákis;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
747;Milatos Agios Konstantinos;35,325999;25,585073;Y;;settlement\port\cistern\water construction;201;300;Spanakes, Stergios. G. 1991–1993. Poleis kai choria tis Kritis sto perasma ton aionon (Volumes. 1–2). Heraklion: Grafikes Technes G. Detorákis;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
748;Milatos Agios Konstantinos;35,325999;25,585073;Y;;settlement\port\cistern\water construction;701;900;Spanakes, Stergios. G. 1991–1993. Poleis kai choria tis Kritis sto perasma ton aionon (Volumes. 1–2). Heraklion: Grafikes Technes G. Detorákis;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
749;Milatos Agios Konstantinos;35,325999;25,585073;Y;;settlement\port\cistern\water construction;1101;1205;Spanakes, Stergios. G. 1991–1993. Poleis kai choria tis Kritis sto perasma ton aionon (Volumes. 1–2). Heraklion: Grafikes Technes G. Detorákis;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
750;Miloi - FES 43;35,037792;24,817478;Y;;settlement;961;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;
751;Minoa - AKS MR2;35,508588;24,17504;Y;;settlement;201;961;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
752;Mitropolis Messaras ;35,054889;24,819233;Y;;coin;641;668;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;ΑΔ 16 (1960). Αρχαιόττες και μνημεία της Κρήτης, 254-275. Αθήναι. ;;coin Constance II (641-668)
753;Mitropolis Messaras ;35,054889;24,819233;Y;;settlement;201;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;ΑΔ 16 (1960). Αρχαιόττες και μνημεία της Κρήτης, 254-275. Αθήναι. ;;
754;Mitropolis Messaras ;35,054889;24,819233;Y;;church;313;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;ΑΔ 16 (1960). Αρχαιόττες και μνημεία της Κρήτης, 254-275. Αθήναι. ;;
755;Modi;35,505309;23,878456;Y;;settlement\coin;201;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;
756;Mochlos - bath;35,178173;25,915764;Y;;bath;601;824;Poulou, N. Tantis, A. 2018: From Town to Countryside: Middle-Byzantine Bath-Houses in Eastern Crete and Their Changing Functions. Land 7, 107 ;;;;
757;Mochlos - bath;35,178173;25,915764;Y;;bath;961;1205;N. Tantis, A. 2018: From Town to Countryside: Middle-Byzantine Bath-Houses in Eastern Crete and Their Changing Functions. Land 7, 107 ;;;;
758;Mochlos - island;35,187928;25,906552;Y;;settlement\cemetery\church\cistern\fortification\port;201;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;Official site: ΥΠΠΟ/ΑΡΧ/Φ31/24456/1834 π.ε.
759;Moires ;35,051851;24,873675;Y;;settlement\coin;201;824;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;
760;monastery of Ag. Pavlos - AKS AP4;35,572879;24,108886;Y;;settlement\monastery;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;wine-press
761;monastery of Ag. Pavlos - AKS AP4;35,572879;24,108886;Y;;settlement;301;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
762;monastery of Arkadi ;35,309961;24,629149;Y;;monastery;961;1205;Curuni S.A. & Donati L. (eds)1988, Creta Veneziana (Venice) 37-113.;;Psilakes, Nikos. 1994. Monasteria kai eremeteria Kretes. Heraklion: published by author. ;;
763;monastery of Kalogrees, St. John Baptis  (Korakies);35,522403;24,076562;Y;;monastery;961;1205;Orlandos, Anastasios. K. 1969. To ergon tes archaiologikes etairias kata ton 1968. Athenai.  ;;;;
764;Monastiraki - Ag. Konstantinos and Eleni;35,080456;25,826472;Y;;church;961;1205;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
765;Monastiraki - Ag. Marina - GOUR73;35,079902;25,819738;Y;;settlement;201;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
766;Monastiraki - Ag. Stefanos;35,080642;25,826091;Y;;church;961;1205;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
767;Monastiraki - GOUR70;35,081788;25,828557;Y;;settlement;401;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
768;Monastiraki - GOUR72;35,080567;25,82684;Y;;settlement;401;700;"Watrous, Livingston Vance; Haggis, Donald; Nowicki, Krzysztof; Vogeikoff-Brogan, Natalia and Schultz, Maryanne. 2012. An Archaeological Survey of the Gournia Landscape. Prehistory Monographs 37. Philadelphia: INSTAP Academic Press.";;;;
769;Monastiraki (Amari);35,230942;24,670713;Y;Y;settlement;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
770;Monastiraki (Amari);35,230942;24,670713;Y;Y;settlement;1105;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
771;Monastiraki KAS 96 ;35,08678;25,830917;Y;;settlement;201;700;Haggis, Donald C. 2006. Kavousi I: the archaeological survey of the Kavousi region. Philadelphia, Penn: INSTAP Academic Press.;http://dx.doi.org/10.2307/j.ctt3fgv78;;;
772;Monastiraki Katalimata;35,085063;25,836143;Y;;settlement;601;700;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;Nowicki, Krzysztof. 2008. Monastiraki Katalimata. Excavations of A Cretan Refuge Site, 1993-2000, Prehistory Mono-graphs 24, INSTAP Academic Press, Philadelphia.;;
773;Monastiraki Katalimata;35,085063;25,836143;Y;;settlement;1101;1205;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;Nowicki, Krzysztof. 2008. Monastiraki Katalimata. Excavations of A Cretan Refuge Site, 1993-2000, Prehistory Mono-graphs 24, INSTAP Academic Press, Philadelphia.;;
774;Monastiri - AKS AT2;35,560621;24,135226;Y;;settlement;301;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
775;Monastiri - AKS AT2;35,560621;24,135226;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
776;Monastiri - AKS AT5;35,566049;24,127523;Y;;settlement;301;824;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;Roman inscription
777;Monastiri - AKS AT5;35,566049;24,127523;Y;;settlement;961;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
778;Moni Asomaton ;35,242536;24,662632;Y;;settlement;201;824;ΑΔ 61 (2006);;;;Official site: 21220
789;Moni Asomaton ;35,242536;24,662632;Y;;settlement\monastery;901;1205;ΑΔ 61 (2006);;;;
780;Moni Odigitria;34,973475;24,79978;Y;;settlement ;201;700;Francis, Jane. 2010. The Roman Pottery. In K. Branigan and A. Vasilakis (eds). Moni Odigitria: A Prepalatial cemetery and its Environs in the Asterousia, Southern Crete. Institute of Aegean Prehistory Monographs 30, 28–46. Philadelphia, PA.;;;;
781;Monochorio;35,070006;24,869911;N;;settlement;961;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology;;;;coordinates: village center
782;Monopari;35,295721;24,422547;Υ;;settlement;401;824;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;13th c fortification - castro, Roman pottery
783;Monopari;35,295721;24,422547;Υ;;fortification;1101;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
784;Monopari - Kasteli  (Ano Valsamonero);35,289775;24,432085;Y;;fortification;961;1205;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
785;Mother fort of Karoumes - MRS (Chochlakies);35,148006;26,270058;Y;;hamlet;201;824;Pariente, Anne. 1994. Chronique des fouilles et découvertes archéologiques en Grèce en 1993. Bulletin de Correspondance Hellénique 118, 695–866.;;ΑΔ Β2 Χρονικά 27 (1972);;official site: YΠΠΟ/ΑΡΧ/Α1/Φ24/40284/2609, ΥΠΠΟ/ΑΡΧ/Α1/Φ24/6491/318/8.2.1995
